(<TokenType.KEYWORD_FUNCTION: 'fn'>, 'fn', 1)
(<TokenType.IDENTIFIER: 'ID'>, 'main', 1)
(<TokenType.PUNCTUATOR_LPAREN: '('>, '(', 1)
(<TokenType.PUNCTUATOR_RPAREN: ')'>, ')', 1)
(<TokenType.PUNCTUATOR_LBRACE: '{'>, '{', 1)
(<TokenType.KEYWORD_LET: 'let'>, 'let', 2)
(<TokenType.IDENTIFIER: 'ID'>, 'a', 2)
(<TokenType.PUNCTUATOR_COMMA: ','>, ',', 2)
(<TokenType.IDENTIFIER: 'ID'>, 'c', 2)
(<TokenType.PUNCTUATOR_COMMA: ','>, ',', 2)
(<TokenType.IDENTIFIER: 'ID'>, 'media', 2)
(<TokenType.PUNCTUATOR_COLON: ':'>, ':', 2)
(<TokenType.KEYWORD_FLOAT: 'float'>, 'float', 2)
(<TokenType.PUNCTUATOR_SEMICOLON: ';'>, ';', 2)
(<TokenType.KEYWORD_LET: 'let'>, 'let', 3)
(<TokenType.IDENTIFIER: 'ID'>, 'b', 3)
(<TokenType.PUNCTUATOR_COLON: ':'>, ':', 3)
(<TokenType.KEYWORD_CHAR: 'char'>, 'char', 3)
(<TokenType.PUNCTUATOR_SEMICOLON: ';'>, ';', 3)
(<TokenType.IDENTIFIER: 'ID'>, 'a', 4)
(<TokenType.OPERATOR_ASSIGN: '='>, '=', 4)
(<TokenType.FLOAT_CONSTANT: 'FLOAT_CONST'>, '8.2', 4)
(<TokenType.PUNCTUATOR_SEMICOLON: ';'>, ';', 4)
(<TokenType.IDENTIFIER: 'ID'>, 'b', 5)
(<TokenType.OPERATOR_ASSIGN: '='>, '=', 5)
(<TokenType.INT_CONSTANT: 'INT_CONST'>, '1', 5)
(<TokenType.PUNCTUATOR_SEMICOLON: ';'>, ';', 5)
(<TokenType.IDENTIFIER: 'ID'>, 'c', 6)
(<TokenType.OPERATOR_ASSIGN: '='>, '=', 6)
(<TokenType.FLOAT_CONSTANT: 'FLOAT_CONST'>, '7.0', 6)
(<TokenType.PUNCTUATOR_SEMICOLON: ';'>, ';', 6)
(<TokenType.IDENTIFIER: 'ID'>, 'media', 7)
(<TokenType.OPERATOR_ASSIGN: '='>, '=', 7)
(<TokenType.PUNCTUATOR_LPAREN: '('>, '(', 7)
(<TokenType.IDENTIFIER: 'ID'>, 'a', 7)
(<TokenType.OPERATOR_PLUS: '+'>, '+', 7)
(<TokenType.IDENTIFIER: 'ID'>, 'b', 7)
(<TokenType.OPERATOR_PLUS: '+'>, '+', 7)
(<TokenType.IDENTIFIER: 'ID'>, 'c', 7)
(<TokenType.PUNCTUATOR_RPAREN: ')'>, ')', 7)
(<TokenType.OPERATOR_DIVIDE: '/'>, '/', 7)
(<TokenType.FLOAT_CONSTANT: 'FLOAT_CONST'>, '3.0', 7)
(<TokenType.PUNCTUATOR_SEMICOLON: ';'>, ';', 7)
(<TokenType.PUNCTUATOR_RBRACE: '}'>, '}', 8)
